Name,Location,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,Fuel_Type_Diesel,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual,year_count,miles driven
Hyundai i20 Era 1.4 CRDi,Kochi,2014,46566,First,22.54,1396.0,88.76,5.0,1.28,4.4,1,0,0,0,1,10,28934.761986
Mercedes-Benz E-Class 2015-2017 E350 Edition E,Jaipur,2015,41493,First,13.0,2987.0,265.0,5.0,1.28,42.0,1,0,0,1,0,9,25782.546903
Nissan Terrano XV 110 PS,Kochi,2014,103788,First,19.01,1461.0,108.5,5.0,1.28,5.67,1,0,0,0,1,10,64490.853348000004
Renault Duster 110PS Diesel RxZ AMT,Bangalore,2016,45000,First,19.6,1461.0,108.45,5.0,1.28,11.5,1,0,0,1,0,8,27961.695
Maruti Wagon R LXI Minor,Pune,2009,120000,First,18.9,998.0,67.1,5.0,1.28,1.69,0,0,1,0,1,15,74564.52
Hyundai Getz 1.5 CRDi GVS,Jaipur,2009,97359,Second,17.1,1493.0,110.0,5.0,1.28,1.8,1,0,0,0,1,15,60496.059189
Maruti Ritz LXi,Mumbai,2016,62000,First,18.5,1197.0,85.8,5.0,1.28,3.2,0,0,1,0,1,8,38525.002
Honda City 1.5 GXI,Pune,2004,115000,Second,0.0,1631.552572706935,113.80314403717087,5.0,1.28,1.5,0,0,1,0,1,20,71457.665
BMW 5 Series 520d Sport Line,Kochi,2019,18373,First,22.48,1995.0,187.74,5.0,1.28,45.86,1,0,0,1,0,5,11416.449383
Volkswagen Polo 1.2 MPI Highline,Hyderabad,2016,60453,First,16.47,1198.0,74.0,5.0,1.28,5.1,0,0,1,0,1,8,37563.741063
Ford Figo Petrol ZXI,Mumbai,2010,69009,Second,15.6,1196.0,70.0,5.0,1.28,2.4,0,0,1,0,1,14,42880.191339
BMW 3 Series 320d Luxury Line,Hyderabad,2013,30000,First,18.88,1995.0,184.0,5.0,1.28,22.0,1,0,0,1,0,11,18641.13
Hyundai Verna 1.6 SX CRDi (O),Delhi,2012,70707,First,22.32,1582.0,126.32,5.0,1.28,4.28,1,0,0,0,1,12,43935.279297
Renault Duster 85PS Diesel RxL,Coimbatore,2015,64677,First,20.45,1461.0,83.8,5.0,1.28,5.67,1,0,0,0,1,9,40188.412167
Hyundai Grand i10 1.2 Kappa Magna AT,Bangalore,2018,3000,First,18.9,1197.0,81.86,5.0,1.28,6.2,0,0,1,1,0,6,1864.113
BMW X1 sDrive20d,Bangalore,2013,49000,Second,17.05,1995.0,184.0,5.0,1.28,14.49,1,0,0,1,0,11,30447.179
Maruti Ritz VDi,Pune,2010,71000,First,21.1,1248.0,73.9,5.0,1.28,3.0,1,0,0,0,1,14,44117.341
Hyundai i10 Era 1.1 iTech SE,Jaipur,2010,52000,Second,19.81,1086.0,68.05,5.0,1.28,2.25,0,0,1,0,1,14,32311.292
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,Kochi,2016,35659,First,15.97,2993.0,258.0,7.0,1.28,43.78,1,0,0,1,0,8,22157.468489
Honda City V MT Exclusive,Kochi,2019,5377,First,16.8,1497.0,116.3,5.0,1.28,11.45,0,0,1,0,1,5,3341.111867
Mahindra Ssangyong Rexton RX7,Delhi,2014,65000,First,11.18,2696.0,184.0,7.0,1.28,10.5,1,0,0,1,0,10,40389.115
Ford Ecosport 1.5 DV5 MT Titanium Optional,Coimbatore,2015,92708,First,22.7,1498.0,89.84,5.0,1.28,7.48,1,0,0,0,1,9,57606.062668
Maruti Alto LXi,Coimbatore,2010,48105,First,19.7,796.0,46.3,5.0,1.28,3.1,0,0,1,0,1,14,29891.051955
Volkswagen Polo 1.2 MPI Highline,Mumbai,2011,46759,First,16.47,1198.0,74.0,5.0,1.28,2.55,0,0,1,0,1,13,29054.686589
Volkswagen Polo Diesel Comfortline 1.2L,Jaipur,2013,62000,First,22.07,1199.0,73.9,5.0,1.28,3.5,1,0,0,0,1,11,38525.002
Volkswagen Polo Diesel Highline 1.2L,Kolkata,2012,35175,First,22.07,1199.0,73.9,5.0,1.28,2.59,1,0,0,0,1,12,21856.724925
Maruti Ertiga ZDI,Kolkata,2013,70000,First,20.77,1248.0,88.8,7.0,1.28,5.45,1,0,0,0,1,11,43495.97
Ford EcoSport 1.5 TDCi Ambiente,Kolkata,2017,30000,First,22.77,1498.0,98.59,5.0,1.28,6.0,1,0,0,0,1,7,18641.13
Toyota Innova Crysta 2.8 ZX AT,Kolkata,2016,66618,First,11.36,2755.0,171.5,7.0,1.28,15.49,1,0,0,1,0,8,41394.493278
BMW 5 Series 523i Sedan,Mumbai,2010,69300,Second,10.8,2497.0,150.0,5.0,1.28,12.5,0,0,1,1,0,14,43061.0103
Maruti Swift Dzire Tour LDI,Kolkata,2017,148000,First,23.4,1248.0,74.0,5.0,1.28,4.75,1,0,0,0,1,7,91962.908
Ford Ecosport 1.0 Ecoboost Platinum Edition,Mumbai,2017,22000,First,18.88,999.0,123.24,5.0,1.28,7.85,0,0,1,0,1,7,13670.162
Hyundai Verna CRDi SX,Ahmedabad,2013,75000,First,16.8,1493.0,110.0,5.0,1.28,6.0,1,0,0,0,1,11,46602.825
Tata Zest Revotron 1.2T XM,Mumbai,2016,43706,First,17.57,1193.0,88.7,5.0,1.28,4.0,0,0,1,0,1,8,27157.640926
Audi A7 2011-2015 3.0 TDI Quattro,Mumbai,2011,42000,First,14.4,2967.0,241.4,5.0,1.28,28.75,1,0,0,1,0,13,26097.582
Tata Indica Vista Quadrajet VX,Pune,2012,65000,First,22.3,1248.0,74.0,5.0,1.28,2.5,1,0,0,0,1,12,40389.115
Maruti Swift Dzire VDI,Delhi,2015,76128,First,26.59,1248.0,74.0,5.0,1.28,5.5,1,0,0,0,1,9,47303.731488
Fiat Linea Emotion,Kolkata,2010,39852,First,16.0,1368.0,90.0,5.0,1.28,1.59,0,0,1,0,1,14,24762.877092
Hyundai i20 1.2 Spotz,Mumbai,2017,18673,First,18.6,1197.0,81.83,5.0,1.28,6.22,0,0,1,0,1,7,11602.860683
Hyundai EON Era Plus,Kolkata,2016,11583,First,21.1,814.0,55.2,5.0,1.28,2.75,0,0,1,0,1,8,7197.340293
Mercedes-Benz GLA Class 200 CDI SPORT,Pune,2017,50000,First,17.9,2143.0,136.0,5.0,1.28,25.0,1,0,0,1,0,7,31068.55
Maruti Celerio VXI,Delhi,2014,77000,First,23.1,998.0,67.04,5.0,1.28,2.8,0,0,1,0,1,10,47845.567
Chevrolet Beat LT,Mumbai,2014,54890,Second,17.8,1199.0,76.8,5.0,1.28,2.45,0,0,1,0,1,10,34107.05419
Honda Jazz 1.2 V AT i VTEC Privilege,Pune,2016,21000,First,19.0,1199.0,88.7,5.0,1.28,6.35,0,0,1,1,0,8,13048.791
BMW 3 Series 320d Highline,Mumbai,2009,58557,Third,16.07,1995.0,181.0,5.0,1.28,8.0,1,0,0,1,0,15,36385.621647
Renault Duster 110PS Diesel RxL,Bangalore,2014,70000,First,19.01,1461.0,108.45,5.0,1.28,8.25,1,0,0,0,1,10,43495.97
Ford Figo 2015-2019 1.5P Titanium AT,Mumbai,2017,16000,First,17.01,1499.0,110.4,5.0,1.28,5.95,0,0,1,1,0,7,9941.936
Toyota Innova Crysta 2.4 VX MT,Kochi,2018,8899,First,13.68,2393.0,147.8,7.0,1.28,19.92,1,0,0,0,1,6,5529.580529
Chevrolet Beat Diesel LS,Kochi,2016,83629,First,25.44,936.0,56.3,5.0,1.28,3.15,1,0,0,0,1,8,51964.635359
Volkswagen Polo GTI,Chennai,2014,35059,First,17.21,1798.0,189.0,4.0,1.28,5.75,0,0,1,1,0,10,21784.645889
Ford Endeavour 3.2 Trend AT 4X4,Kochi,2018,30552,First,10.91,3198.0,197.2,7.0,1.28,32.44,1,0,0,1,0,6,18984.126792
Hyundai Verna 1.6 SX CRDI (O) AT,Kochi,2016,44875,Second,22.32,1582.0,126.32,5.0,1.28,8.01,1,0,0,1,0,8,27884.023625
Ford Figo 2015-2019 1.2P Titanium Opt MT,Coimbatore,2017,25095,First,18.16,1196.0,86.8,5.0,1.28,6.48,0,0,1,0,1,7,15593.305245
Maruti 800 AC,Jaipur,2007,59000,First,16.1,796.0,37.0,4.0,1.28,0.75,0,0,1,0,1,17,36660.889
Honda City i DTEC V,Kolkata,2014,36000,First,26.0,1498.0,98.6,5.0,1.28,5.0,1,0,0,0,1,10,22369.356
Mahindra XUV500 W8 2WD,Mumbai,2012,37000,First,16.0,2179.0,140.0,7.0,1.28,7.75,1,0,0,0,1,12,22990.727
Ford Figo Diesel ZXI,Chennai,2010,90000,First,20.0,1399.0,68.0,5.0,1.28,2.6,1,0,0,0,1,14,55923.39
Ford EcoSport 1.5 Petrol Titanium,Pune,2018,17000,First,17.0,1497.0,121.36,5.0,1.28,9.2,0,0,1,0,1,6,10563.307
Hyundai i20 Asta 1.2,Mumbai,2015,42575,First,18.6,1197.0,81.83,5.0,1.28,5.05,0,0,1,0,1,9,26454.870325
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Hyderabad,2012,131000,First,12.99,2494.0,100.0,7.0,1.28,9.6,1,0,0,0,1,12,81399.601
Renault Duster 85PS Diesel RxL Optional,Mumbai,2013,74000,First,20.46,1461.0,83.8,5.0,1.28,5.5,1,0,0,0,1,11,45981.454
Toyota Innova 2.5 VX (Diesel) 8 Seater,Mumbai,2013,47234,First,12.99,2494.0,100.6,8.0,1.28,9.35,1,0,0,0,1,11,29349.837814
Honda City 1.5 S MT,Delhi,2009,231673,First,17.0,1497.0,118.0,5.0,1.28,2.6,0,0,1,0,1,15,143954.883683
Maruti Alto K10 VXI,Hyderabad,2016,10000,First,24.07,998.0,67.1,5.0,1.28,3.5,0,0,1,0,1,8,6213.71
Nissan Micra Active XL Petrol,Kochi,2016,49389,First,19.49,1198.0,67.04,5.0,1.28,4.26,0,0,1,0,1,8,30688.892319
Maruti Celerio VXI AT,Chennai,2016,12000,Second,23.1,998.0,67.04,5.0,1.28,4.25,0,0,1,1,0,8,7456.452
Mercedes-Benz New C-Class 200 Kompressor,Hyderabad,2010,65000,Second,11.7,1796.0,178.0,5.0,1.28,11.75,0,0,1,0,1,14,40389.115
Ford Fiesta Diesel Style,Chennai,2013,177000,First,23.5,1498.0,88.7,5.0,1.28,3.5,1,0,0,0,1,11,109982.667
Hyundai Verna 1.6 VTVT S,Jaipur,2015,89000,First,17.01,1591.0,121.3,5.0,1.28,7.5,0,0,1,0,1,9,55302.019
Hyundai i20 1.4 Asta (AT),Chennai,2009,72000,Third,15.0,1396.0,100.0,5.0,1.28,3.25,0,0,1,1,0,15,44738.712
Maruti Swift Dzire VXi,Chennai,2012,49000,First,17.5,1298.0,85.8,5.0,1.28,4.9,0,0,1,0,1,12,30447.179
Mercedes-Benz New C-Class C 220CDIBE Avantgarde Command,Hyderabad,2014,51355,First,14.84,2143.0,170.0,5.0,1.28,27.0,1,0,0,1,0,10,31910.507705
Hyundai Elite i20 Petrol Asta,Kochi,2017,13460,First,18.6,1197.0,81.86,5.0,1.28,8.91,0,0,1,0,1,7,8363.65366
Hyundai Verna 1.6 VTVT EX AT,Kochi,2014,35642,First,17.01,1591.0,121.4,5.0,1.28,6.69,0,0,1,1,0,10,22146.905182
Chevrolet Cruze LTZ,Kochi,2014,52895,First,17.3,1998.0,163.7,5.0,1.28,6.02,1,0,0,0,1,10,32867.419045
Toyota Corolla Altis 1.8 G,Mumbai,2010,93000,First,14.28,1798.0,138.03,5.0,1.28,4.5,0,0,1,0,1,14,57787.503000000004
Maruti A-Star Vxi,Pune,2011,70000,First,19.0,998.0,66.1,5.0,1.28,2.0,0,0,1,0,1,13,43495.97
Nissan Micra Diesel XV Premium,Kolkata,2012,32048,First,23.08,1461.0,63.1,5.0,1.28,2.4,1,0,0,0,1,12,19913.697808
Tata Nano LX,Pune,2013,4700,First,25.4,624.0,37.48,4.0,1.28,1.2,0,0,1,0,1,11,2920.4437
Maruti Swift Dzire Tour LDI,Delhi,2014,71800,First,23.4,1248.0,74.0,5.0,1.28,2.9,1,0,0,0,1,10,44614.4378
Land Rover Range Rover Sport 2005 2012 Sport,Coimbatore,2008,69078,First,0.0,1631.552572706935,113.80314403717087,5.0,1.28,40.88,0,0,1,0,1,16,42923.065938
Audi Q3 2.0 TDI Quattro,Ahmedabad,2016,45000,First,17.32,1968.0,184.0,5.0,1.28,27.0,1,0,0,1,0,8,27961.695
Honda Amaze VX i-DTEC,Chennai,2016,15388,First,25.8,1498.0,98.6,5.0,1.28,7.5,1,0,0,0,1,8,9561.656948
Chevrolet Optra 1.6 LS,Mumbai,2004,98798,First,14.7,1599.0,104.0,5.0,1.28,1.5,0,0,1,0,1,20,61390.212058
Audi Q5 2.0 TDI Premium Plus,Hyderabad,2016,43000,First,14.16,1968.0,174.3,5.0,1.28,39.5,1,0,0,1,0,8,26718.953
Maruti Ritz VDi,Hyderabad,2012,85112,First,23.2,1248.0,73.94,5.0,1.28,3.39,1,0,0,0,1,12,52886.128552
Mahindra Scorpio S6 7 Seater,Kochi,2018,37804,First,15.4,2179.0,120.0,7.0,1.28,12.4,1,0,0,0,1,6,23490.309284
Maruti Ciaz ZDi SHVS,Chennai,2014,45000,First,28.09,1248.0,88.5,5.0,1.28,6.85,1,0,0,0,1,10,27961.695
Toyota Corolla Altis Aero D 4D J,Pune,2011,116000,Second,21.43,1364.0,138.0,5.0,1.28,5.75,1,0,0,0,1,13,72079.03600000001
Tata Indica V2 eLS,Chennai,2015,100073,Second,25.0,1396.0,69.0,5.0,1.28,2.0,1,0,0,0,1,9,62182.460083
Maruti 800 Std BSIII,Jaipur,2006,165000,First,16.1,796.0,37.0,4.0,1.28,0.9,0,0,1,0,1,18,102526.215
Volkswagen Polo 1.2 MPI Highline,Kolkata,2015,22000,First,16.47,1198.0,74.0,5.0,1.28,3.8,0,0,1,0,1,9,13670.162
Hyundai Elantra 2.0 SX Option AT,Delhi,2017,9500,First,14.62,1999.0,149.92,5.0,1.28,16.35,0,0,1,1,0,7,5903.0245
Toyota Fortuner 4x2 4 Speed AT,Hyderabad,2012,152000,First,11.5,2982.0,169.0,7.0,1.28,16.5,1,0,0,1,0,12,94448.392
Maruti Baleno Zeta 1.2,Coimbatore,2019,17705,First,21.4,1197.0,83.1,5.0,1.28,8.7,0,0,1,0,1,5,11001.373555
Maruti Baleno Zeta 1.2,Mumbai,2016,12000,First,21.4,1197.0,83.1,5.0,1.28,6.1,0,0,1,0,1,8,7456.452
Mini Cooper Countryman D,Hyderabad,2013,51000,First,23.8,1998.0,112.0,5.0,1.28,21.94,1,0,0,1,0,11,31689.921000000002
Mercedes-Benz S Class 2005 2013 320 CDI,Chennai,2009,42000,Second,13.0,2987.0,210.0,5.0,1.28,22.0,1,0,0,1,0,15,26097.582
Maruti Alto K10 LXI,Delhi,2015,51000,First,20.92,998.0,67.1,5.0,1.28,2.65,0,0,1,0,1,9,31689.921000000002
Maruti Swift VXI Optional,Kochi,2017,42527,First,20.4,1197.0,81.8,5.0,1.28,5.27,0,0,1,0,1,7,26425.044517000002
Chevrolet Sail LT ABS,Kolkata,2014,45000,First,22.1,1248.0,74.0,5.0,1.28,2.48,1,0,0,0,1,10,27961.695
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,Kolkata,2011,70000,First,12.8,2494.0,102.0,8.0,1.28,6.0,1,0,0,0,1,13,43495.97
Toyota Fortuner 3.0 Diesel,Mumbai,2009,92000,First,11.5,2982.0,171.0,7.0,1.28,8.9,1,0,0,0,1,15,57166.132
BMW 3 Series 320d Sport Line,Hyderabad,2012,57156,Second,18.88,1995.0,184.0,5.0,1.28,18.0,1,0,0,1,0,12,35515.080876
Skoda Octavia Ambition 1.4 TSI MT,Coimbatore,2016,53211,First,16.8,1395.0,138.02,5.0,1.28,11.64,0,0,1,0,1,8,33063.772281
Toyota Fortuner 3.0 Diesel,Kolkata,2019,80000,First,11.5,2982.0,171.0,7.0,1.28,8.99,1,0,0,0,1,5,49709.68
Volkswagen Jetta 2007-2011 1.9 Highline TDI,Bangalore,2009,74000,First,15.5,1896.0,105.0,5.0,1.28,5.25,1,0,0,1,0,15,45981.454
Hyundai i20 1.4 CRDi Asta,Kolkata,2011,37000,First,23.0,1396.0,90.0,5.0,1.28,2.95,1,0,0,0,1,13,22990.727
Tata Manza Club Class Quadrajet90 LX,Mumbai,2013,64000,Second,21.02,1248.0,88.76,5.0,1.28,2.65,1,0,0,0,1,11,39767.744
Volkswagen Vento Petrol Highline,Pune,2013,57197,First,15.04,1598.0,103.6,5.0,1.28,4.0,0,0,1,0,1,11,35540.557087
Hyundai Creta 1.6 SX Automatic Diesel,Chennai,2016,55000,First,17.6,1582.0,126.2,5.0,1.28,12.5,1,0,0,1,0,8,34175.405
Maruti Ritz VXI,Mumbai,2014,33000,First,21.1,1197.0,85.8,5.0,1.28,3.25,0,0,1,0,1,10,20505.243
Honda CR-V 2.0L 2WD MT,Delhi,2008,70000,First,13.1,1997.0,141.1,5.0,1.28,4.0,0,0,1,0,1,16,43495.97
Mahindra XUV500 W8 2WD,Delhi,2012,75000,Second,15.1,2179.0,140.0,7.0,1.28,6.25,1,0,0,0,1,12,46602.825
Volkswagen Ameo 1.5 TDI Comfortline,Jaipur,2016,58095,First,21.66,1498.0,108.62,5.0,1.28,5.8,1,0,0,0,1,8,36098.548245
Tata Zest Revotron 1.2 XT,Kolkata,2015,7445,First,17.57,1193.0,88.7,5.0,1.28,5.0,0,0,1,0,1,9,4626.107095
Jaguar XJ 3.0L Portfolio LWB,Kochi,2016,17652,First,12.9,2993.0,270.88,5.0,1.28,58.73,1,0,0,1,0,8,10968.440892
Toyota Corolla Altis 1.8 VL CVT,Kochi,2018,28321,First,14.28,1798.0,138.03,5.0,1.28,17.49,0,0,1,1,0,6,17597.848091
Maruti A-Star Vxi,Pune,2011,69000,Second,19.0,998.0,66.1,5.0,1.28,1.95,0,0,1,0,1,13,42874.599
Honda Accord VTi-L (AT),Mumbai,2007,80000,First,11.1,2354.0,142.0,5.0,1.28,3.0,0,0,1,1,0,17,49709.68
Hyundai i20 Asta (o),Delhi,2014,42365,First,17.0,1197.0,80.0,5.0,1.28,5.5,0,0,1,0,1,10,26324.382415
Toyota Fortuner 4x2 AT,Delhi,2013,123000,First,12.55,2982.0,168.5,7.0,1.28,16.5,1,0,0,1,0,11,76428.633
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Mumbai,2011,40000,Second,11.74,1796.0,186.0,5.0,1.28,14.5,0,0,1,1,0,13,24854.84
Maruti Baleno Alpha 1.3,Hyderabad,2016,30112,First,27.39,1248.0,74.0,5.0,1.28,7.79,1,0,0,0,1,8,18710.723552
Maruti Ertiga VDI,Kochi,2017,43775,First,20.77,1248.0,88.76,7.0,1.28,8.27,1,0,0,0,1,7,27200.515525
Land Rover Range Rover Sport SE,Kochi,2019,26013,First,12.65,2993.0,255.0,5.0,1.39,97.07,1,0,0,1,0,5,16163.723823
Chevrolet Optra Magnum 1.6 LT ABS BS3,Mumbai,2012,56000,First,12.9,1598.0,102.5,5.0,1.28,2.15,0,0,1,0,1,12,34796.776
Honda Civic 2006-2010 1.8 V AT,Hyderabad,2008,95000,Second,12.9,1799.0,130.0,5.0,1.28,3.0,0,0,1,1,0,16,59030.245
BMW X3 xDrive20d,Coimbatore,2014,41089,First,16.09,1995.0,184.0,5.0,1.28,28.79,1,0,0,1,0,10,25531.513019
Skoda Laura Ambition 2.0 TDI CR AT,Mumbai,2011,41988,First,20.0,1968.0,138.1,5.0,1.28,5.45,1,0,0,1,0,13,26090.125548
Maruti Swift Dzire VDI,Delhi,2013,72486,First,23.4,1248.0,74.0,5.0,1.28,3.95,1,0,0,0,1,11,45040.698306
Volvo V40 Cross Country D3,Pune,2013,92000,First,23.3,1984.0,150.0,5.0,1.28,16.0,1,0,0,1,0,11,57166.132
Maruti Swift Dzire ZXi,Delhi,2013,40000,First,17.5,1298.0,85.8,5.0,1.28,4.25,0,0,1,0,1,11,24854.84
Land Rover Range Rover 2.2L Pure,Bangalore,2014,56000,First,12.7,2179.0,187.7,5.0,1.28,34.5,1,0,0,1,0,10,34796.776
Honda Accord 2.4 AT,Mumbai,2008,125000,Third,11.7,2354.0,177.6,5.0,1.28,2.6,0,0,1,1,0,16,77671.375
Toyota Innova 2.5 G (Diesel) 8 Seater,Kochi,2017,29219,First,12.99,2494.0,100.6,8.0,1.28,13.48,1,0,0,0,1,7,18155.839249
Toyota Fortuner 4x4 MT,Hyderabad,2018,39927,First,12.55,2982.0,168.5,7.0,1.28,32.1,1,0,0,0,1,6,24809.479917
Honda Jazz 1.2 E i VTEC,Kochi,2018,38593,First,18.7,1199.0,88.7,5.0,1.28,6.17,0,0,1,0,1,6,23980.571003
Honda City 1.5 V MT,Kolkata,2015,32000,First,17.0,1497.0,118.0,5.0,1.28,5.5,0,0,1,0,1,9,19883.872
Maruti Dzire AMT ZDI Plus,Hyderabad,2017,28226,First,28.4,1248.0,73.75,5.0,1.28,9.15,1,0,0,1,0,7,17538.817846
Nissan Sunny 2011-2014 Diesel XL,Pune,2014,95000,First,21.64,1461.0,84.8,5.0,1.28,4.5,1,0,0,0,1,10,59030.245
Toyota Innova 2.5 G (Diesel) 8 Seater,Chennai,2014,194000,First,12.99,2494.0,100.6,8.0,1.28,10.5,1,0,0,0,1,10,120545.974
Honda Brio S MT,Coimbatore,2016,14821,First,19.4,1198.0,86.8,5.0,1.28,5.37,0,0,1,0,1,8,9209.339591
Volkswagen Vento Petrol Trendline,Bangalore,2012,52000,First,15.04,1598.0,103.6,5.0,1.28,5.45,0,0,1,0,1,12,32311.292
Mahindra XUV500 W4,Mumbai,2016,33000,First,16.0,2179.0,140.0,7.0,1.28,9.25,1,0,0,0,1,8,20505.243
Ford EcoSport 1.5 Diesel Titanium Plus,Chennai,2016,29200,First,23.0,1498.0,98.96,5.0,1.28,7.7,1,0,0,0,1,8,18144.0332
Skoda Yeti Ambition 4X2,Hyderabad,2012,99754,First,17.72,1968.0,108.49,5.0,1.28,7.99,1,0,0,0,1,12,61984.242734
Hyundai i10 Sportz,Chennai,2012,49000,First,20.36,1197.0,78.9,5.0,1.28,3.0,0,0,1,0,1,12,30447.179
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,Hyderabad,2005,299322,First,12.8,2494.0,102.0,8.0,1.28,4.0,1,0,0,0,1,19,185990.010462
Tata Zest Quadrajet 1.3 XT,Coimbatore,2018,38310,First,20.65,1248.0,88.7,5.0,1.28,6.69,1,0,0,0,1,6,23804.72301
Maruti Swift VDI,Delhi,2014,56000,First,22.9,1248.0,74.0,5.0,1.28,4.25,1,0,0,0,1,10,34796.776
Skoda Rapid 1.5 TDI AT Style,Kolkata,2017,31300,First,21.72,1498.0,108.4,5.0,1.28,10.5,1,0,0,1,0,7,19448.9123
Toyota Innova Crysta 2.4 VX MT 8S,Coimbatore,2019,11241,First,13.68,2393.0,147.8,8.0,1.28,22.55,1,0,0,0,1,5,6984.831411
Hyundai Verna 1.6 SX VTVT,Pune,2014,48000,Second,17.01,1591.0,121.3,5.0,1.28,5.2,0,0,1,0,1,10,29825.808
Honda City i VTEC VX Option,Coimbatore,2019,23882,First,17.4,1497.0,117.3,5.0,1.28,11.87,0,0,1,0,1,5,14839.582222000001
Honda City i DTEC SV,Hyderabad,2014,65000,First,26.0,1498.0,98.6,5.0,1.28,6.99,1,0,0,0,1,10,40389.115
Volkswagen Vento Diesel Highline,Jaipur,2011,50000,First,20.54,1598.0,103.6,5.0,1.28,5.0,1,0,0,0,1,13,31068.55
Audi Q5 2008-2012 3.0 TDI,Chennai,2014,25000,First,12.19,2967.0,236.0,5.0,1.28,44.0,1,0,0,1,0,10,15534.275
Maruti Alto 800 LXI,Chennai,2015,21000,First,22.74,796.0,47.3,5.0,1.28,2.79,0,0,1,0,1,9,13048.791
Tata Manza ELAN Quadrajet BS IV,Pune,2012,148000,Second,21.12,1248.0,88.8,5.0,1.28,2.9,1,0,0,0,1,12,91962.908
Hyundai Creta 1.6 SX Plus Dual Tone Petrol,Delhi,2016,68000,First,15.29,1591.0,121.3,5.0,1.28,9.85,0,0,1,0,1,8,42253.228
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,Bangalore,2014,52000,First,12.0,2987.0,224.0,7.0,1.28,49.0,1,0,0,1,0,10,32311.292
Mahindra Thar CRDe,Jaipur,2016,19000,First,16.55,2498.0,105.0,6.0,1.28,9.25,1,0,0,0,1,8,11806.049
Hyundai Verna 1.6 CRDI,Mumbai,2011,74000,Second,22.32,1582.0,126.3,5.0,1.28,3.75,1,0,0,0,1,13,45981.454
Ford Aspire Titanium Diesel,Coimbatore,2017,30279,First,26.1,1498.0,99.0,5.0,1.28,7.29,1,0,0,0,1,7,18814.492509
Mini Cooper 3 DOOR D,Mumbai,2016,20000,First,20.7,1496.0,113.98,4.0,1.28,23.5,1,0,0,1,0,8,12427.42
Maruti Omni 8 Seater BSIV,Hyderabad,2013,34834,First,14.0,796.0,35.0,5.0,1.28,2.6,0,0,1,0,1,11,21644.837414
Mahindra Verito 1.5 D4 BSIV,Pune,2015,90000,Second,21.03,1461.0,65.0,5.0,1.28,3.1,1,0,0,0,1,9,55923.39
Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,Coimbatore,2016,38730,First,14.21,2143.0,203.0,5.0,1.28,29.98,1,0,0,1,0,8,24065.69883
Renault Duster 110PS Diesel RxZ,Kochi,2016,57390,First,19.01,1461.0,108.45,5.0,1.28,6.73,1,0,0,0,1,8,35660.48169
Maruti Swift Dzire Tour LDI,Kolkata,2016,100000,First,23.4,1248.0,74.0,5.0,1.28,3.5,1,0,0,0,1,8,62137.1
Volkswagen Polo Petrol Highline 1.2L,Kolkata,2011,50000,First,16.47,1198.0,73.9,5.0,1.28,2.35,0,0,1,0,1,13,31068.55
Mahindra XUV500 W10 2WD,Coimbatore,2017,64961,First,16.0,2179.0,140.0,7.0,1.28,16.13,1,0,0,0,1,7,40364.881531
Volkswagen Polo 1.2 MPI Highline,Coimbatore,2014,72465,First,16.47,1198.0,74.0,5.0,1.28,5.9,0,0,1,0,1,10,45027.649515
Maruti Ritz VXI,Hyderabad,2012,68776,First,21.1,1197.0,85.8,5.0,1.28,3.9,0,0,1,0,1,12,42735.411896
Toyota Innova 2.5 GX 7 STR BSIV,Delhi,2012,68000,First,12.8,2494.0,102.0,7.0,1.28,6.95,1,0,0,0,1,12,42253.228
Honda City i DTec SV,Delhi,2015,33000,First,26.0,1498.0,98.6,5.0,1.28,7.0,1,0,0,0,1,9,20505.243
Volkswagen Ameo 1.2 MPI Highline,Coimbatore,2017,22389,First,17.0,1198.0,73.75,5.0,1.28,7.23,0,0,1,0,1,7,13911.875319
Maruti SX4 ZDI Leather,Mumbai,2012,90000,First,21.5,1248.0,88.8,5.0,1.28,3.81,1,0,0,0,1,12,55923.39
Maruti Swift ZXI,Chennai,2012,42000,Third,18.6,1197.0,85.8,5.0,1.28,4.5,0,0,1,0,1,12,26097.582
Hyundai Creta 1.6 CRDi SX,Pune,2017,38767,First,19.67,1582.0,126.2,5.0,1.28,12.6,1,0,0,0,1,7,24088.689557
Audi Q7 35 TDI Quattro Technology,Bangalore,2015,21000,First,12.07,2967.0,241.4,7.0,1.28,48.0,1,0,0,1,0,9,13048.791
Maruti Alto LXi BSIII,Coimbatore,2010,59136,First,19.7,796.0,46.3,5.0,1.28,2.96,0,0,1,0,1,14,36745.395456
Honda Amaze SX i-DTEC,Kolkata,2014,36000,First,25.8,1498.0,98.6,5.0,1.28,3.25,1,0,0,0,1,10,22369.356
